747	оттуля	10	0.0
748	поворот	10	0.0
749	повыскочить	10	0.0
750	идолишшо	10	0.0
751	маленький	9	0.0
752	собираться	9	0.0
753	сутки	9	0.0
754	вяз	9	0.0
755	ево	9	0.0
756	подпись	9	0.0
757	кушатить	9	0.0
758	церква	9	0.0
759	обедня	9	0.0
760	заплакать	9	0.0
761	кома	9	0.0
762	рожоной	9	0.0
763	становить	9	0.0
764	туда	9	0.0
765	утро	9	0.0
766	свалить	9	0.0
767	крестный	9	0.0
768	выйти	9	0.0
769	великия	9	0.0
770	позвать	9	0.0
771	солнце	9	0.0
772	похваляться	9	0.0
773	бессчетнуть	9	0.0
774	отдавать	9	0.0
775	вставать	9	0.0
776	товарищ	9	0.0
777	пояс	9	0.0
778	леванидов	9	0.0
779	сегодня	9	0.0
780	чурилов	9	0.0
781	ножка	9	0.0
782	рубль	9	0.0
783	муж	9	0.0
784	пивная	9	0.0
785	учалый	9	0.0
786	прибить	9	0.0
787	вместо	9	0.0
788	пята	9	0.0
789	слово́	9	0.0
790	тых	9	0.0
791	царевич	9	0.0
792	кровавить	9	0.0
793	подъехать	9	0.0
794	ерлыко	9	0.0
795	афрометь	9	0.0
796	зареветь	9	0.0
797	дуб	9	0.0
798	сватовство	9	0.0
799	жеребцовый	9	0.0
800	назвать	9	0.0
801	палатушка	9	0.0
802	супротив	9	0.0
803	уздать	9	0.0
804	марина	9	0.0
805	мёд	9	0.0
806	глаз	9	0.0
807	крепость	9	0.0
808	курево	9	0.0
809	бурушко	9	0.0
810	ворон	9	0.0
811	откуль	9	0.0
812	стольнекиевский	9	0.0
813	кроваточка	9	0.0
814	говорытый	9	0.0
815	змеенышев	9	0.0
816	струйка	9	0.0
817	рубить	9	0.0
818	никитушка	9	0.0
819	край	9	0.0
820	самойла	9	0.0
821	оратаюшко	9	0.0
822	огонь	8	0.0
823	подымать	8	0.0
824	тонкий	8	0.0
825	душить	8	0.0
826	дорогой	8	0.0
827	застава	8	0.0
828	уметь	8	0.0
829	печатный	8	0.0
830	каменя	8	0.0
831	тешиться	8	0.0
832	круг	8	0.0
833	соборный	8	0.0
834	повести	8	0.0
835	налить	8	0.0
836	увал	8	0.0
837	зачать	8	0.0
838	потанюшка	8	0.0
839	придверников	8	0.0
840	прямо	8	0.0
841	наедалисить	8	0.0
842	похвастать	8	0.0
843	тым	8	0.0
844	монастырь	8	0.0
845	пудовый	8	0.0
846	гостиный	8	0.0
847	ряд	8	0.0
848	синить	8	0.0
849	поезжать	8	0.0
850	поиграть	8	0.0
851	дощечка	8	0.0
852	глядеть	8	0.0
853	красавица	8	0.0
854	спасова	8	0.0
855	велеть	8	0.0
856	микитич	8	0.0
857	маленькая	8	0.0
858	дойти	8	0.0
859	пообедать	8	0.0
860	светлый	8	0.0
861	чисто́	8	0.0
862	печка	8	0.0
863	стена	8	0.0
864	поставить	8	0.0
865	уехать	8	0.0
866	зелена́	8	0.0
867	уродище	8	0.0
868	сынов	8	0.0
869	плакать	8	0.0
870	чусовиный	8	0.0
871	царский	8	0.0
872	прибежать	8	0.0
873	подумать	8	0.0
874	заутреня	8	0.0
875	перстень	8	0.0
876	скора	8	0.0
877	таково́	8	0.0
878	подзорный	8	0.0
879	зде	8	0.0
880	ю	8	0.0
881	тести	8	0.0
882	прошлое	8	0.0
883	выговаривать	8	0.0
884	окульева	8	0.0
885	пасть	8	0.0
886	старичок	8	0.0
887	бога́тырь	8	0.0
888	боротися	8	0.0
889	учение	8	0.0
890	ляховицкия	8	0.0
891	выручать	8	0.0
892	возлюбленный	8	0.0
893	биться	8	0.0
894	широк	8	0.0
895	кайдала	8	0.0
896	глеб	8	0.0
897	зычалый	8	0.0
898	загадка	8	0.0
899	выслуга	8	0.0
